id,layer,family,name,export_name,request_type,status,target,differentiability,fusion_tags,source_tags
aether.capability_compat.validate-compatibility-profile,aether,capability_compat,validateCompatibilityProfile,capabilityCompatValidateCompatibilityProfile,DriverOpRequest,standard,host,not-applicable,,
aether.device_node.close-device-node,aether,device_node,closeDeviceNode,deviceNodeCloseDeviceNode,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.duplicate-device-fd,aether,device_node,duplicateDeviceFd,deviceNodeDuplicateDeviceFd,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.map-device-region,aether,device_node,mapDeviceRegion,deviceNodeMapDeviceRegion,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.open-control-device,aether,device_node,openControlDevice,deviceNodeOpenControlDevice,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.open-gpu-device,aether,device_node,openGpuDevice,deviceNodeOpenGpuDevice,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.open-uvm-device,aether,device_node,openUvmDevice,deviceNodeOpenUvmDevice,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.poll-device-node,aether,device_node,pollDeviceNode,deviceNodePollDeviceNode,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.query-device-node,aether,device_node,queryDeviceNode,deviceNodeQueryDeviceNode,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.read-device-event,aether,device_node,readDeviceEvent,deviceNodeReadDeviceEvent,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.set-close-on-exec,aether,device_node,setCloseOnExec,deviceNodeSetCloseOnExec,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.set-non-blocking,aether,device_node,setNonBlocking,deviceNodeSetNonBlocking,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.unmap-device-region,aether,device_node,unmapDeviceRegion,deviceNodeUnmapDeviceRegion,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.validate-device-major-minor,aether,device_node,validateDeviceMajorMinor,deviceNodeValidateDeviceMajorMinor,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.device_node.write-device-command,aether,device_node,writeDeviceCommand,deviceNodeWriteDeviceCommand,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.fault_diagnostics.assemble-crash-bundle,aether,fault_diagnostics,assembleCrashBundle,faultDiagnosticsAssembleCrashBundle,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.capture-bar-state,aether,fault_diagnostics,captureBarState,faultDiagnosticsCaptureBarState,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.capture-channel-state,aether,fault_diagnostics,captureChannelState,faultDiagnosticsCaptureChannelState,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.capture-fault-buffer,aether,fault_diagnostics,captureFaultBuffer,faultDiagnosticsCaptureFaultBuffer,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.capture-gsp-crash-dump,aether,fault_diagnostics,captureGspCrashDump,faultDiagnosticsCaptureGspCrashDump,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.capture-kernel-log-context,aether,fault_diagnostics,captureKernelLogContext,faultDiagnosticsCaptureKernelLogContext,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.capture-object-graph,aether,fault_diagnostics,captureObjectGraph,faultDiagnosticsCaptureObjectGraph,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.capture-pci-state,aether,fault_diagnostics,capturePciState,faultDiagnosticsCapturePciState,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.classify-fault,aether,fault_diagnostics,classifyFault,faultDiagnosticsClassifyFault,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.decode-rm-event,aether,fault_diagnostics,decodeRmEvent,faultDiagnosticsDecodeRmEvent,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.decode-xid,aether,fault_diagnostics,decodeXid,faultDiagnosticsDecodeXid,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.fail-closed,aether,fault_diagnostics,failClosed,faultDiagnosticsFailClosed,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.read-rm-event,aether,fault_diagnostics,readRmEvent,faultDiagnosticsReadRmEvent,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.read-xid,aether,fault_diagnostics,readXid,faultDiagnosticsReadXid,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.recommend-recovery,aether,fault_diagnostics,recommendRecovery,faultDiagnosticsRecommendRecovery,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.subscribe-rm-event,aether,fault_diagnostics,subscribeRmEvent,faultDiagnosticsSubscribeRmEvent,DriverOpRequest,standard,host,not-applicable,,
aether.fault_diagnostics.unsubscribe-rm-event,aether,fault_diagnostics,unsubscribeRmEvent,faultDiagnosticsUnsubscribeRmEvent,DriverOpRequest,standard,host,not-applicable,,
aether.gsp_rpc.capture-gsp-log,aether,gsp_rpc,captureGspLog,gspRpcCaptureGspLog,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.decode-gsp-rpc,aether,gsp_rpc,decodeGspRpc,gspRpcDecodeGspRpc,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.detect-gsp-timeout,aether,gsp_rpc,detectGspTimeout,gspRpcDetectGspTimeout,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.encode-gsp-rpc,aether,gsp_rpc,encodeGspRpc,gspRpcEncodeGspRpc,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.load-gsp-firmware-reference,aether,gsp_rpc,loadGspFirmwareReference,gspRpcLoadGspFirmwareReference,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.query-gsp-status,aether,gsp_rpc,queryGspStatus,gspRpcQueryGspStatus,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.query-gsp-version,aether,gsp_rpc,queryGspVersion,gspRpcQueryGspVersion,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.receive-gsp-rpc,aether,gsp_rpc,receiveGspRpc,gspRpcReceiveGspRpc,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.reset-gsp,aether,gsp_rpc,resetGsp,gspRpcResetGsp,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.send-gsp-rpc,aether,gsp_rpc,sendGspRpc,gspRpcSendGspRpc,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.trace-gsp-rpc,aether,gsp_rpc,traceGspRpc,gspRpcTraceGspRpc,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.validate-gsp-compatibility,aether,gsp_rpc,validateGspCompatibility,gspRpcValidateGspCompatibility,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.gsp_rpc.wait-gsp-ready,aether,gsp_rpc,waitGspReady,gspRpcWaitGspReady,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.ioctl_transport.classify-rm-status,aether,ioctl_transport,classifyRmStatus,ioctlTransportClassifyRmStatus,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.decode-ioctl,aether,ioctl_transport,decodeIoctl,ioctlTransportDecodeIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.encode-ioctl,aether,ioctl_transport,encodeIoctl,ioctlTransportEncodeIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.fuzz-ioctl,aether,ioctl_transport,fuzzIoctl,ioctlTransportFuzzIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.handle-ioctl-error,aether,ioctl_transport,handleIoctlError,ioctlTransportHandleIoctlError,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.invoke-ioctl,aether,ioctl_transport,invokeIoctl,ioctlTransportInvokeIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.invoke-ioctl-async,aether,ioctl_transport,invokeIoctlAsync,ioctlTransportInvokeIoctlAsync,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.invoke-ioctl-retry,aether,ioctl_transport,invokeIoctlRetry,ioctlTransportInvokeIoctlRetry,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.query-ioctl-capabilities,aether,ioctl_transport,queryIoctlCapabilities,ioctlTransportQueryIoctlCapabilities,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.query-ioctl-version,aether,ioctl_transport,queryIoctlVersion,ioctlTransportQueryIoctlVersion,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.redact-ioctl,aether,ioctl_transport,redactIoctl,ioctlTransportRedactIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.replay-ioctl,aether,ioctl_transport,replayIoctl,ioctlTransportReplayIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.trace-ioctl,aether,ioctl_transport,traceIoctl,ioctlTransportTraceIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.translate-ioctl-version,aether,ioctl_transport,translateIoctlVersion,ioctlTransportTranslateIoctlVersion,DriverOpRequest,standard,host,not-applicable,,
aether.ioctl_transport.validate-ioctl,aether,ioctl_transport,validateIoctl,ioctlTransportValidateIoctl,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.allocate-channel,aether,rm_channel,allocateChannel,rmChannelAllocateChannel,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.allocate-channel-group,aether,rm_channel,allocateChannelGroup,rmChannelAllocateChannelGroup,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.allocate-context-share,aether,rm_channel,allocateContextShare,rmChannelAllocateContextShare,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.allocate-event,aether,rm_channel,allocateEvent,rmChannelAllocateEvent,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.allocate-semaphore-surface,aether,rm_channel,allocateSemaphoreSurface,rmChannelAllocateSemaphoreSurface,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.bind-channel,aether,rm_channel,bindChannel,rmChannelBindChannel,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.free-channel,aether,rm_channel,freeChannel,rmChannelFreeChannel,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.free-channel-group,aether,rm_channel,freeChannelGroup,rmChannelFreeChannelGroup,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.free-context-share,aether,rm_channel,freeContextShare,rmChannelFreeContextShare,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.free-event,aether,rm_channel,freeEvent,rmChannelFreeEvent,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.free-semaphore-surface,aether,rm_channel,freeSemaphoreSurface,rmChannelFreeSemaphoreSurface,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.query-channel-state,aether,rm_channel,queryChannelState,rmChannelQueryChannelState,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.register-event,aether,rm_channel,registerEvent,rmChannelRegisterEvent,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.reset-channel-object,aether,rm_channel,resetChannelObject,rmChannelResetChannelObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.set-channel-priority,aether,rm_channel,setChannelPriority,rmChannelSetChannelPriority,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.unbind-channel,aether,rm_channel,unbindChannel,rmChannelUnbindChannel,DriverOpRequest,standard,host,not-applicable,,
aether.rm_channel.unregister-event,aether,rm_channel,unregisterEvent,rmChannelUnregisterEvent,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.alloc-rm-object,aether,rm_client,allocRmObject,rmClientAllocRmObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.capture-rm-object-graph,aether,rm_client,captureRmObjectGraph,rmClientCaptureRmObjectGraph,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.control-rm-object,aether,rm_client,controlRmObject,rmClientControlRmObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.create-rm-client,aether,rm_client,createRmClient,rmClientCreateRmClient,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.create-root-object,aether,rm_client,createRootObject,rmClientCreateRootObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.destroy-rm-client,aether,rm_client,destroyRmClient,rmClientDestroyRmClient,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.duplicate-rm-client,aether,rm_client,duplicateRmClient,rmClientDuplicateRmClient,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.enumerate-rm-children,aether,rm_client,enumerateRmChildren,rmClientEnumerateRmChildren,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.free-rm-object,aether,rm_client,freeRmObject,rmClientFreeRmObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.free-root-object,aether,rm_client,freeRootObject,rmClientFreeRootObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.query-rm-client,aether,rm_client,queryRmClient,rmClientQueryRmClient,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.query-rm-object,aether,rm_client,queryRmObject,rmClientQueryRmObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.set-rm-client-policy,aether,rm_client,setRmClientPolicy,rmClientSetRmClientPolicy,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.translate-rm-handle,aether,rm_client,translateRmHandle,rmClientTranslateRmHandle,DriverOpRequest,standard,host,not-applicable,,
aether.rm_client.validate-rm-handle,aether,rm_client,validateRmHandle,rmClientValidateRmHandle,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.allocate-device-object,aether,rm_device,allocateDeviceObject,rmDeviceAllocateDeviceObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.allocate-subdevice,aether,rm_device,allocateSubdevice,rmDeviceAllocateSubdevice,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.free-device-object,aether,rm_device,freeDeviceObject,rmDeviceFreeDeviceObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.free-subdevice,aether,rm_device,freeSubdevice,rmDeviceFreeSubdevice,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-architecture-info,aether,rm_device,queryArchitectureInfo,rmDeviceQueryArchitectureInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-bar-info,aether,rm_device,queryBarInfo,rmDeviceQueryBarInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-clock-info,aether,rm_device,queryClockInfo,rmDeviceQueryClockInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-device-info,aether,rm_device,queryDeviceInfo,rmDeviceQueryDeviceInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-ecc-info,aether,rm_device,queryEccInfo,rmDeviceQueryEccInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-engine-info,aether,rm_device,queryEngineInfo,rmDeviceQueryEngineInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-gsp-info,aether,rm_device,queryGspInfo,rmDeviceQueryGspInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-memory-info,aether,rm_device,queryMemoryInfo,rmDeviceQueryMemoryInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-pci-info,aether,rm_device,queryPciInfo,rmDeviceQueryPciInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-power-info,aether,rm_device,queryPowerInfo,rmDeviceQueryPowerInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-reset-status,aether,rm_device,queryResetStatus,rmDeviceQueryResetStatus,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-subdevice-info,aether,rm_device,querySubdeviceInfo,rmDeviceQuerySubdeviceInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-thermal-info,aether,rm_device,queryThermalInfo,rmDeviceQueryThermalInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_device.query-vbios-info,aether,rm_device,queryVbiosInfo,rmDeviceQueryVbiosInfo,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.allocate-memory-object,aether,rm_vaspace_memory,allocateMemoryObject,rmVaspaceMemoryAllocateMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.allocate-va-space,aether,rm_vaspace_memory,allocateVaSpace,rmVaspaceMemoryAllocateVaSpace,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.bind-memory-to-va-space,aether,rm_vaspace_memory,bindMemoryToVaSpace,rmVaspaceMemoryBindMemoryToVaSpace,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.duplicate-memory-object,aether,rm_vaspace_memory,duplicateMemoryObject,rmVaspaceMemoryDuplicateMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.export-memory-object,aether,rm_vaspace_memory,exportMemoryObject,rmVaspaceMemoryExportMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.free-memory-object,aether,rm_vaspace_memory,freeMemoryObject,rmVaspaceMemoryFreeMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.free-va-space,aether,rm_vaspace_memory,freeVaSpace,rmVaspaceMemoryFreeVaSpace,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.import-memory-object,aether,rm_vaspace_memory,importMemoryObject,rmVaspaceMemoryImportMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.map-memory-object,aether,rm_vaspace_memory,mapMemoryObject,rmVaspaceMemoryMapMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.query-memory-object,aether,rm_vaspace_memory,queryMemoryObject,rmVaspaceMemoryQueryMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.register-memory-object,aether,rm_vaspace_memory,registerMemoryObject,rmVaspaceMemoryRegisterMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.set-memory-object-flags,aether,rm_vaspace_memory,setMemoryObjectFlags,rmVaspaceMemorySetMemoryObjectFlags,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.unbind-memory-from-va-space,aether,rm_vaspace_memory,unbindMemoryFromVaSpace,rmVaspaceMemoryUnbindMemoryFromVaSpace,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.unmap-memory-object,aether,rm_vaspace_memory,unmapMemoryObject,rmVaspaceMemoryUnmapMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.rm_vaspace_memory.unregister-memory-object,aether,rm_vaspace_memory,unregisterMemoryObject,rmVaspaceMemoryUnregisterMemoryObject,DriverOpRequest,standard,host,not-applicable,,
aether.uvm.uvm-deinitialize,aether,uvm,uvmDeinitialize,uvmUvmDeinitialize,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-flush-fault-buffer,aether,uvm,uvmFlushFaultBuffer,uvmUvmFlushFaultBuffer,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-initialize,aether,uvm,uvmInitialize,uvmUvmInitialize,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-map-external-allocation,aether,uvm,uvmMapExternalAllocation,uvmUvmMapExternalAllocation,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-migrate,aether,uvm,uvmMigrate,uvmUvmMigrate,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-prefetch,aether,uvm,uvmPrefetch,uvmUvmPrefetch,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-query-faults,aether,uvm,uvmQueryFaults,uvmUvmQueryFaults,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-query-page-residency,aether,uvm,uvmQueryPageResidency,uvmUvmQueryPageResidency,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-register-channel,aether,uvm,uvmRegisterChannel,uvmUvmRegisterChannel,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-register-gpu,aether,uvm,uvmRegisterGpu,uvmUvmRegisterGpu,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-register-va-space,aether,uvm,uvmRegisterVaSpace,uvmUvmRegisterVaSpace,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-service-fault,aether,uvm,uvmServiceFault,uvmUvmServiceFault,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-set-accessed-by,aether,uvm,uvmSetAccessedBy,uvmUvmSetAccessedBy,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-set-preferred-location,aether,uvm,uvmSetPreferredLocation,uvmUvmSetPreferredLocation,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-set-read-mostly,aether,uvm,uvmSetReadMostly,uvmUvmSetReadMostly,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-unmap-external-allocation,aether,uvm,uvmUnmapExternalAllocation,uvmUvmUnmapExternalAllocation,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-unregister-channel,aether,uvm,uvmUnregisterChannel,uvmUvmUnregisterChannel,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-unregister-gpu,aether,uvm,uvmUnregisterGpu,uvmUvmUnregisterGpu,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
aether.uvm.uvm-unregister-va-space,aether,uvm,uvmUnregisterVaSpace,uvmUvmUnregisterVaSpace,DriverOpRequest,standard,host,not-applicable,,open-gpu-modules
alpha.attention.attention-backward,alpha,attention,attentionBackward,attentionAttentionBackward,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-checksum,alpha,attention,attentionChecksum,attentionAttentionChecksum,AttentionRequest,research,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-kv-append,alpha,attention,attentionKvAppend,attentionAttentionKvAppend,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-kv-compact,alpha,attention,attentionKvCompact,attentionAttentionKvCompact,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-kv-evict,alpha,attention,attentionKvEvict,attentionAttentionKvEvict,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-kv-gather,alpha,attention,attentionKvGather,attentionAttentionKvGather,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-kv-quantize,alpha,attention,attentionKvQuantize,attentionAttentionKvQuantize,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-prefix-share,alpha,attention,attentionPrefixShare,attentionAttentionPrefixShare,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-score-only,alpha,attention,attentionScoreOnly,attentionAttentionScoreOnly,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-tree-share,alpha,attention,attentionTreeShare,attentionAttentionTreeShare,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-value-only,alpha,attention,attentionValueOnly,attentionAttentionValueOnly,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.attention-with-retrieval,alpha,attention,attentionWithRetrieval,attentionAttentionWithRetrieval,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.bidirectional-attention,alpha,attention,bidirectionalAttention,attentionBidirectionalAttention,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.block-sparse-attention,alpha,attention,blockSparseAttention,attentionBlockSparseAttention,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.causal-attention,alpha,attention,causalAttention,attentionCausalAttention,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.chunked-attention,alpha,attention,chunkedAttention,attentionChunkedAttention,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
alpha.attention.cosine-attention,alpha,attention,cosineAttention,attentionCosineAttention,AttentionRequest,standard,architecture-agnostic,differentiable-or-estimator,attention;softmax,flashattention;mamba
